id_do_caso,continente,educacao_do_empregado,tem_experiencia_de_trabalho,requer_treinamento_de_trabalho,num_de_empregados,ano_de_estabelecimento,regiao_de_emprego,salario_prevalecente,unidade_de_salario,posicao_em_tempo_integral,status_do_caso
EZYV10567,Europa,Ensino Médio,N,S,2087,1855,Sul,69711.24,Ano,S,Negado
EZYV5505,Ásia,Mestrado,S,N,5991,2003,Meio-Oeste,52931.38,Ano,S,Aprovado
EZYV5207,Ásia,Ensino Médio,N,N,1426,2000,Ilha,110830.21,Ano,S,Negado
EZYV7545,Ásia,Ensino Médio,N,N,3846,1992,Meio-Oeste,91884.68,Semana,S,Negado
EZYV16071,Ásia,Ensino Superior,S,N,3957,1949,Nordeste,138155.24,Ano,S,Aprovado
EZYV3753,Ásia,Mestrado,S,N,2374,1998,Oeste,129632.27,Ano,N,Aprovado
EZYV18223,Ásia,Mestrado,S,N,496,1998,Nordeste,111491.39,Ano,S,Aprovado
EZYV16032,América do Sul,Ensino Superior,N,N,631,1999,Sul,547.0719,Hora,S,Negado
EZYV19836,Ásia,Mestrado,N,N,5795,2000,Nordeste,136521.72,Ano,S,Aprovado
EZYV4565,Ásia,Mestrado,S,N,70,2010,Oeste,69027.56,Ano,S,Aprovado
EZYV8233,Europa,Ensino Superior,S,S,99,1996,Oeste,42594.42,Ano,S,Aprovado
EZYV3843,América do Sul,Ensino Superior,S,N,25914,2004,Sul,806.2222,Hora,S,Negado
EZYV16208,Ásia,Mestrado,N,N,3630,1996,Meio-Oeste,48657.18,Ano,S,Aprovado
EZYV739,América do Norte,Ensino Superior,S,N,1222,1997,Nordeste,851.4471,Hora,S,Negado
EZYV5230,Ásia,Mestrado,N,S,4473,1983,Nordeste,163519.84,Ano,S,Aprovado
EZYV20887,Ásia,Mestrado,S,N,549,1997,Ilha,94064.29,Ano,S,Aprovado
EZYV20395,Europa,Ensino Superior,S,N,1040,2003,Oeste,49167.95,Ano,S,Aprovado
EZYV11700,América do Norte,Mestrado,S,N,3060,2003,Sul,3400.65,Ano,S,Aprovado
EZYV16472,América do Norte,Mestrado,S,N,3710,2005,Nordeste,26221.66,Ano,S,Aprovado
EZYV11623,África,Ensino Superior,N,N,451,2000,Sul,66.1509,Hora,S,Aprovado
EZYV12329,Ásia,Ensino Superior,N,N,4160,1968,Meio-Oeste,166973.76,Ano,S,Aprovado
EZYV23445,Ásia,Ensino Superior,N,N,3829,1998,Oeste,30169.84,Ano,S,Negado
EZYV874,América do Norte,Ensino Superior,S,N,6289,2004,Nordeste,12759.63,Ano,S,Aprovado
EZYV7705,Ásia,Ensino Superior,N,N,2236,1965,Oeste,30637.14,Ano,S,Negado
EZYV19387,Ásia,Ensino Superior,N,N,1905,1986,Sul,58246.93,Ano,S,Aprovado
EZYV12675,Ásia,Ensino Superior,S,N,2695,1988,Meio-Oeste,12893.99,Ano,S,Aprovado
EZYV1580,Europa,Doutorado,S,S,2504,2000,Sul,205508.95,Ano,S,Aprovado
EZYV19787,Ásia,Ensino Superior,S,N,3229,1998,Sul,68647.07,Ano,S,Negado
EZYV10282,Ásia,Ensino Superior,S,N,1086,2011,Meio-Oeste,143.346,Hora,S,Negado
EZYV12962,Ásia,Ensino Superior,N,N,4433,1946,Nordeste,107268.08,Ano,S,Aprovado
EZYV596,América do Norte,Ensino Superior,S,N,908,1997,Ilha,29099.81,Ano,S,Aprovado
EZYV11763,América do Norte,Doutorado,S,N,3077,2007,Sul,10292.62,Ano,S,Aprovado
EZYV13285,Ásia,Ensino Superior,N,N,2075,2005,Sul,44816.71,Ano,S,Aprovado
EZYV23822,Europa,Mestrado,S,N,3475,1986,Nordeste,35269.39,Ano,S,Aprovado
EZYV16769,Ásia,Doutorado,S,N,1946,1869,Oeste,90686.97,Ano,S,Negado
EZYV7173,Ásia,Ensino Superior,N,S,2324,1937,Ilha,93560.12,Ano,S,Aprovado
EZYV7641,América do Norte,Ensino Superior,S,N,3376,2000,Nordeste,58025.3,Ano,N,Aprovado
EZYV13128,Ásia,Ensino Superior,N,N,4231,1894,Sul,955.657,Hora,S,Negado
EZYV16047,Ásia,Ensino Superior,N,N,4976,2000,Oeste,146655.47,Ano,S,Negado
EZYV18153,Ásia,Ensino Superior,N,N,1190,2013,Sul,85490.1,Ano,S,Negado
EZYV10645,Ásia,Mestrado,S,N,1711,1975,Nordeste,57745.32,Ano,S,Aprovado
EZYV4570,Ásia,Ensino Médio,N,N,2733,2001,Sul,119529.62,Ano,S,Negado
EZYV1813,Ásia,Ensino Superior,S,N,239,2001,Oeste,45139.63,Ano,S,Aprovado
EZYV19056,Ásia,Ensino Superior,S,S,505,2003,Oeste,129422.72,Ano,S,Negado
